product_name,website,product_subclass,retailer
Χαραλαμπίδης Κρίστης Ραβιόλες με 100% Πισσουρκώτικο Χαλλούμι 400 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-γευματα-για-παρτι-ραβιολες/ραβιολες/χαραλαμπιδης-κριστης-ραβιολες-με-100-πισσουρκωτικο-χαλλουμι-400-g,Pasta products and couscous,Alpha Mega
Hercules Ραβιόλες με Φρέσκο Χαλλούμι & Αναρή 400 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-γευματα-για-παρτι-ραβιολες/ραβιολες/hercules-ραβιολες-με-φρεσκο-χαλλουμι-αναρη-400-g,Pasta products and couscous,Alpha Mega
Mitsides Χωριάτικες Ραβιόλες 375 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-γευματα-για-παρτι-ραβιολες/ραβιολες/mitsides-χωριατικες-ραβιολες-375-g,Pasta products and couscous,Alpha Mega
7 ΘΑΛΑΣΣΕΣ Κατεψυγμένες Βρασμένες Γαρίδες Vannamei 40/60 500 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-ψαρια-θαλασσινα/κατεψυγμενη-γαριδα-καραβιδα/7-θαλασσεσ-κατεψυγμενες-βρασμενες-γαριδες-vannamei-40-60-500-g,Frozen Seafood,Alpha Mega
Foodpax Χταπόδι Ινδοειρηνικού 100/200 800 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-ψαρια-θαλασσινα/κατεψυγμενα-θαλασσινα/foodpax-χταποδι-ινδοειρηνικου-100-200-800-g,Frozen Seafood,Alpha Mega
Foodpax Θράψαλο Ροδέλες (Dosidicus Gigas) Κατεψυγμένο 700 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-ψαρια-θαλασσινα/κατεψυγμενα-θαλασσινα/foodpax-θραψαλο-ροδελες-dosidicus-gigas-κατεψυγμενο-700-g,Frozen Seafood,Alpha Mega
Donegal Catch 4 Φιλέτα Σολομού με Δέρμα 400 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-ψαρια-θαλασσινα/κατεψυγμενα-ψαρια/donegal-catch-4-φιλετα-σολομου-με-δερμα-400-g,Frozen Fish,Alpha Mega
Qualifood Φιλέτο Κοκκινόψαρου 525 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-ψαρια-θαλασσινα/κατεψυγμενα-ψαρια/qualifood-φιλετο-κοκκινοψαρου-525-g,Frozen Fish,Alpha Mega
Findus Σολομός 4 Φιλέτα 4x125 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-ψαρια-θαλασσινα/κατεψυγμενα-ψαρια/findus-σολομος-4-φιλετα-4x125-g,Frozen Fish,Alpha Mega
Qualifood Σολομός 4x125 g,https://www.alphamega.com.cy/el/προιοντα/κατεψυγμενα/κατεψυγμενα-ψαρια-θαλασσινα/κατεψυγμενα-ψαρια/qualifood-σολομος-4x125-g,Frozen Fish,Alpha Mega
