product_name,product_price,date_time_scraped,product_subclass,retailer,subclass_average
ΣίφουναςΟλικήςΨωμίΚομμένο780g,2.4,2023-04-30 01:49:42.029193,Bread,SupermarketCy,0
ΣίφουναςΜαύροΜικρόΨωμίΚομμένο500g,1.85,2023-04-30 01:49:42.029258,Bread,SupermarketCy,0
ΣίφουναςΚοινόΨωμίΚομμένο560g,1.55,2023-04-30 01:49:42.029259,Bread,SupermarketCy,0
ΣίφουναςΚοινόΨωμίΚομμένο970g,2.0,2023-04-30 01:49:42.029259,Bread,SupermarketCy,0
ΣίφουναςΆσπροΨωμί560g,1.75,2023-04-30 01:49:42.029260,Bread,SupermarketCy,0
ΣίφουναςΚοινόΨωμί970g,2.0,2023-04-30 01:49:42.029260,Bread,SupermarketCy,0
ΣίφουναςΠίττεςΆσπρεςΜεγάλες5Τεμ550g,1.85,2023-04-30 01:50:02.157824,Other bakery products,SupermarketCy,0
ΣίφουναςΨωμίΦέτεςΤόστΆσπροΜικρό700g,2.2,2023-04-30 01:50:02.157828,Other bakery products,SupermarketCy,0
ΣίφουναςΦραντζολάκιαΣτρογγυλά4Τεμ,1.6,2023-04-30 01:50:02.157829,Other bakery products,SupermarketCy,0
ΣίφουναςΦραντζολάκιαΜακρόστεναΜεγάλα4Τεμ,1.6,2023-04-30 01:50:02.157830,Other bakery products,SupermarketCy,0
ΣίφουναςΚρουασάνΒουτύρου1Τεμ,1.95,2023-04-30 01:50:02.157831,Other bakery products,SupermarketCy,0
ΣίφουναςΛουκανικόπιτα1Τεμ,2.15,2023-04-30 01:50:02.157831,Other bakery products,SupermarketCy,0
ΣίφουναςΠίταΣάτζιηςΜεΜέλι1Τεμ,1.5,2023-04-30 01:50:02.157832,Other bakery products,SupermarketCy,0
ΣίφουναςΕλιόπιταΣφολιάτα1Τεμ,2.1,2023-04-30 01:50:02.157832,Other bakery products,SupermarketCy,0
ΣίφουναςΚέικΓεωγραφίας750g,9.9,2023-04-30 01:50:02.157833,Other bakery products,SupermarketCy,0
ΣίφουναςMixΣιροπιαστά410g,5.95,2023-04-30 01:50:02.157833,Other bakery products,SupermarketCy,0
7DaysMiniBakeRollsΠίτσα80g,1.17,2023-04-30 01:50:02.157834,Other bakery products,SupermarketCy,0
ΜαρίαςΠαξιμάδιαΓλυκανίσου300g,2.39,2023-04-30 01:50:02.157835,Other bakery products,SupermarketCy,0
JohnsofΚρουτόνιαΟλικήςΆλεσης320g,3.32,2023-04-30 01:50:02.157835,Other bakery products,SupermarketCy,0
EliteΦρυγανιέςΟλικήςΆλεσης360g3+1Δώρο,2.25,2023-04-30 01:50:02.157836,Other bakery products,SupermarketCy,0
BakandysΠαξιμάδιαΣικάλεως250g,2.79,2023-04-30 01:50:02.157836,Other bakery products,SupermarketCy,0
JohnsofNapolitanoΣταφίδαςΑμυγδάλου240g,4.16,2023-04-30 01:50:02.157837,Other bakery products,SupermarketCy,0
BakandysΧωριάτικαΚριτσίνιαΣιταρένια275g,NaN,2023-04-30 01:50:02.157837,Other bakery products,SupermarketCy,0
EliteΦρυγανιέςΜεΣίκαλη360g3+1Δώρο,NaN,2023-04-30 01:50:02.157838,Other bakery products,SupermarketCy,0
QuakerΝιφάδεςΒρώμης500g,2.63,2023-04-30 01:50:13.504573,Breakfast Cereals,SupermarketCy,0
QuakerΤραγανέςΜπουκιέςΒρώμηΣοκολάτα450g,4.25,2023-04-30 01:50:13.504578,Breakfast Cereals,SupermarketCy,0
OreoO&#039;sCereal350g,3.99,2023-04-30 01:50:13.504579,Breakfast Cereals,SupermarketCy,0
KelloggsCornFlakes375g,3.19,2023-04-30 01:50:13.504579,Breakfast Cereals,SupermarketCy,0
KelloggsCocoPopsChocos375g,3.45,2023-04-30 01:50:13.504580,Breakfast Cereals,SupermarketCy,0
KelloggsCocoPops500g,4.45,2023-04-30 01:50:13.504580,Breakfast Cereals,SupermarketCy,0
KelloggsSpecialK500g,4.45,2023-04-30 01:50:13.504581,Breakfast Cereals,SupermarketCy,0
KelloggsMielPopsLoops330g,3.49,2023-04-30 01:50:13.504581,Breakfast Cereals,SupermarketCy,0
BarillaΣπαγγέτιNo5500g,1.65,2023-04-30 01:50:21.520045,Pasta products and couscous,SupermarketCy,0
ΜέλισσαPrimoGustoΣπαγγέτιNo6500g,1.47,2023-04-30 01:50:21.520049,Pasta products and couscous,SupermarketCy,0
ΜέλισσαPrimoGustoΚριθαράκι500g,1.59,2023-04-30 01:50:21.520050,Pasta products and couscous,SupermarketCy,0
ΜιτσίδηΣπαγέττι500g,1.1,2023-04-30 01:50:21.520050,Pasta products and couscous,SupermarketCy,0
ΜιτσίδηΚριθαράκι500g,1.6,2023-04-30 01:50:21.520051,Pasta products and couscous,SupermarketCy,0
ΜιτσίδηΜακαρόνιαΑ500g,1.27,2023-04-30 01:50:21.520051,Pasta products and couscous,SupermarketCy,0
ΜιτσίδηΧωριάτικαΜακαρόνια500g,1.78,2023-04-30 01:50:21.520052,Pasta products and couscous,SupermarketCy,0
ΘίιαμβοςΣπαγέττο500g,1.09,2023-04-30 01:50:21.520053,Pasta products and couscous,SupermarketCy,0
3ΑΡύζιΠάρποιλτ1kg,1.93,2023-04-30 01:50:29.043751,Rice,SupermarketCy,0
BensOriginalΡύζιΜακρύκοκκο10Λεπτά1kg,3.95,2023-04-30 01:50:29.043755,Rice,SupermarketCy,0
TildaΡυζιΜπασματι1kg,5.99,2023-04-30 01:50:29.043756,Rice,SupermarketCy,0
3ΑΡύζιΜπασμάτι1kg,3.89,2023-04-30 01:50:29.043757,Rice,SupermarketCy,0
3ΑΡύζιJasmine1kg,3.1,2023-04-30 01:50:29.043758,Rice,SupermarketCy,0
ΑφοίΑ.ΚεπόλαΠουργούρι1kg,2.95,2023-04-30 01:50:29.043758,Rice,SupermarketCy,0
ΜιτσίδηΠουργούρι500g,1.99,2023-04-30 01:50:29.043759,Rice,SupermarketCy,0
ΜιτσίδηΠουργούρι1kg,3.51,2023-04-30 01:50:29.043759,Rice,SupermarketCy,0
3ΑΠουργούρι500g,1.49,2023-04-30 01:50:29.043760,Rice,SupermarketCy,0
NaturalLifeΑποφλειωμένοΠουργούριΠιλάφι500g,0.99,2023-04-30 01:50:29.043760,Rice,SupermarketCy,0
ΑφοίΑ.ΚεπόλαΠουργούρι500g,NaN,2023-04-30 01:50:29.043761,Rice,SupermarketCy,0
SailorΑλάτι250g,0.6,2023-04-30 01:50:34.486328,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΠιπέριΜαύροΑλεσμένο34g,1.45,2023-04-30 01:50:34.486332,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΚανέλαΑλεσμένη34g,1.0,2023-04-30 01:50:34.486333,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΠάπρικαΓλυκιά30g,1.25,2023-04-30 01:50:34.486333,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΚουρκουμάςΚιτρινόριζα30g,1.05,2023-04-30 01:50:34.486334,"Salt, spices and culinary herbs",SupermarketCy,0
KnorrAromatΜείγμαΛαχανικών&amp;Μυρωδικών90g,2.35,2023-04-30 01:50:34.486335,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΔιάφοραΒότανα12g,0.95,2023-04-30 01:50:34.486335,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΣκόρδοΣκόνη40g,1.0,2023-04-30 01:50:34.486336,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΡίγανη30g,1.3,2023-04-30 01:50:34.486337,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΘυμάρι10g,0.95,2023-04-30 01:50:34.486337,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΚόλιανδροςΣκόνη20g,0.95,2023-04-30 01:50:34.486338,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΜαϊδανός10g,0.95,2023-04-30 01:50:34.486338,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΒασιλικός10g,0.95,2023-04-30 01:50:34.486339,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΆνηθος10g,0.95,2023-04-30 01:50:34.486339,"Salt, spices and culinary herbs",SupermarketCy,0
CarnationSpicesΔεντρολίβανοΛάσμαρι10g,NaN,2023-04-30 01:50:34.486340,"Salt, spices and culinary herbs",SupermarketCy,0
ΛειβαδιώτηΠράσινηΣφραγίδαΑμύγδαλα120g,2.59,2023-04-30 01:50:45.053195,Dried fruit and nuts,SupermarketCy,0
SeranoΚάσιους140g,3.85,2023-04-30 01:50:45.053200,Dried fruit and nuts,SupermarketCy,0
ΛειβαδιώτηΚαρυδόψιχα140g,3.27,2023-04-30 01:50:45.053201,Dried fruit and nuts,SupermarketCy,0
SeranoEconomyPackΦουντούκιαΩμά350g,3.9,2023-04-30 01:50:45.053202,Dried fruit and nuts,SupermarketCy,0
SeranoΦυστικόψιχαΚαβουρδισμένηΑλατισμένη175g,1.79,2023-04-30 01:50:45.053202,Dried fruit and nuts,SupermarketCy,0
ΕποχέςΑποξηραμέναΣύκα350g,4.95,2023-04-30 01:50:45.053203,Dried fruit and nuts,SupermarketCy,0
ΑμαλίαΧρυσόμηλαΑποξηραμένα250g,4.19,2023-04-30 01:50:45.053203,Dried fruit and nuts,SupermarketCy,0
SeranoSnackin&#039;GoodΑποξηραμέναΔαμάσκηναΧωρίςΠρόσθετηΖάχαρη275g,3.75,2023-04-30 01:50:45.053205,Dried fruit and nuts,SupermarketCy,0
ΚαρπόςΑπόΤηΓηΜαςΑποξηραμέναΒερίκοκα400g,5.39,2023-04-30 01:50:45.053205,Dried fruit and nuts,SupermarketCy,0
ΑμαλίαΦοινίκιαΤυνησίας250g,1.99,2023-04-30 01:50:45.053206,Dried fruit and nuts,SupermarketCy,0
SeranoΣταφίδες350g,1.8,2023-04-30 01:50:45.053206,Dried fruit and nuts,SupermarketCy,0
RoyalBeeΜέλι475g,3.89,2023-04-30 01:50:53.305357,"Jams, marmalades and honey",SupermarketCy,0
MavroudesΜέλι380g,3.03,2023-04-30 01:50:53.305361,"Jams, marmalades and honey",SupermarketCy,0
ΤοΤζιβέρτιΜέλιΑνθέωνSqueeze485g,5.99,2023-04-30 01:50:53.305362,"Jams, marmalades and honey",SupermarketCy,0
BonapiΜέλιΑνθέων450g,3.95,2023-04-30 01:50:53.305362,"Jams, marmalades and honey",SupermarketCy,0
BlossomΜαρμελάδαΜερίδες6x30g,1.29,2023-04-30 01:50:53.305363,"Jams, marmalades and honey",SupermarketCy,0
Nutella200g,2.5,2023-04-30 01:50:53.305363,"Jams, marmalades and honey",SupermarketCy,0
