subclass,weight.division,weight.subclass,matching,reference.mean.price,reference.weighted.mean.price,reference.weighted.mean.price.division,reference.weighted.mean.price.total,subclass_average,weighted.mean.price,weighted.mean.price.division,weighted.mean.price.total,weight.matched,weight.matched.division,weight.matched.total,datetime.calculated,CPI_total,CPI_division,weighted_CPI_division,CPI_general,CPI_total_inflation,CPI_general_inflation,division
rice,0.1906,0.0013,1,3.049,0.004,0.7665,718.6435,3.049,0.004,0.7665,718.6435,0.0013,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
flours and other cereals,0.1906,0.002,1,1.4958,0.003,0.7665,718.6435,1.4958,0.003,0.7665,718.6435,0.002,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
bread,0.1906,0.0098,1,1.64,0.0161,0.7665,718.6435,1.64,0.0161,0.7665,718.6435,0.0098,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
other bakery products,0.1906,0.0146,1,2.9319,0.0428,0.7665,718.6435,2.9319,0.0428,0.7665,718.6435,0.0146,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
pizza and quiche,0.1906,0.0011,1,3.3975,0.0037,0.7665,718.6435,3.3975,0.0037,0.7665,718.6435,0.0011,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
pasta products and couscous,0.1906,0.0024,1,2.0864,0.005,0.7665,718.6435,2.0864,0.005,0.7665,718.6435,0.0024,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
breakfast cereals,0.1906,0.0031,1,3.7712,0.0117,0.7665,718.6435,3.7712,0.0117,0.7665,718.6435,0.0031,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
other cereal products,0.1906,0.0,1,3.2975,0.0,0.7665,718.6435,3.2975,0.0,0.7665,718.6435,0.0,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
beef and veal,0.1906,0.0013,1,5.895,0.0077,0.7665,718.6435,5.895,0.0077,0.7665,718.6435,0.0013,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
pork,0.1906,0.0112,1,5.3517,0.0599,0.7665,718.6435,5.3517,0.0599,0.7665,718.6435,0.0112,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
lamb and goat,0.1906,0.0039,1,13.07,0.051,0.7665,718.6435,13.07,0.051,0.7665,718.6435,0.0039,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
poultry,0.1906,0.0098,1,9.885,0.0969,0.7665,718.6435,9.885,0.0969,0.7665,718.6435,0.0098,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
other meats,0.1906,0.0011,1,4.8283,0.0053,0.7665,718.6435,4.8283,0.0053,0.7665,718.6435,0.0011,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
"dried, salted or smoked meat",0.1906,0.006,1,3.2667,0.0196,0.7665,718.6435,3.2667,0.0196,0.7665,718.6435,0.006,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
other meat preparations,0.1906,0.0019,1,4.5429,0.0086,0.7665,718.6435,4.5429,0.0086,0.7665,718.6435,0.0019,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
fresh or chilled fish,0.1906,0.0028,1,8.68,0.0243,0.7665,718.6435,8.68,0.0243,0.7665,718.6435,0.0028,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
frozen fish,0.1906,0.0015,1,8.9645,0.0134,0.7665,718.6435,8.9645,0.0134,0.7665,718.6435,0.0015,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
fresh or chilled seafood,0.1906,0.0003,0,,,0.7665,718.6435,,,0.7665,718.6435,0.0,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
frozen seafood,0.1906,0.0011,1,6.6071,0.0073,0.7665,718.6435,6.6071,0.0073,0.7665,718.6435,0.0011,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
"dried, smoked or salted fish and seafood",0.1906,0.0006,1,1.9838,0.0012,0.7665,718.6435,1.9838,0.0012,0.7665,718.6435,0.0006,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
other preserved or processed fish and seafood-based preparations,0.1906,0.0023,1,6.3888,0.0147,0.7665,718.6435,6.3888,0.0147,0.7665,718.6435,0.0023,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
whole milk,0.1906,0.0015,1,2.87,0.0043,0.7665,718.6435,2.87,0.0043,0.7665,718.6435,0.0015,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
low fat milk,0.1906,0.0086,1,2.3425,0.0201,0.7665,718.6435,2.3425,0.0201,0.7665,718.6435,0.0086,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
preserved milk,0.1906,0.0007,1,1.2325,0.0009,0.7665,718.6435,1.2325,0.0009,0.7665,718.6435,0.0007,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
yoghurt,0.1906,0.0053,1,3.886,0.0206,0.7665,718.6435,3.886,0.0206,0.7665,718.6435,0.0053,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
cheese and curd,0.1906,0.0123,1,3.887,0.0478,0.7665,718.6435,3.887,0.0478,0.7665,718.6435,0.0123,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
other milk products,0.1906,0.002,1,1.7955,0.0036,0.7665,718.6435,1.7955,0.0036,0.7665,718.6435,0.002,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
eggs,0.1906,0.0023,1,3.735,0.0086,0.7665,718.6435,3.735,0.0086,0.7665,718.6435,0.0023,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
butter,0.1906,0.001,1,4.0333,0.004,0.7665,718.6435,4.0333,0.004,0.7665,718.6435,0.001,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
margarine and other vegetable fats,0.1906,0.0012,1,2.6258,0.0032,0.7665,718.6435,2.6258,0.0032,0.7665,718.6435,0.0012,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
olive oil,0.1906,0.0013,1,10.195,0.0133,0.7665,718.6435,10.195,0.0133,0.7665,718.6435,0.0013,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
other edible oils,0.1906,0.0015,1,7.6612,0.0115,0.7665,718.6435,7.6612,0.0115,0.7665,718.6435,0.0015,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
fresh or chilled fruit,0.1906,0.0139,1,3.5223,0.049,0.7665,718.6435,3.5223,0.049,0.7665,718.6435,0.0139,0.1903,0.7601,2023-08-06 20:19:12.685519,100.0,100.0,19.03,76.01,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES
