Name,Subclass,Url,Division,Retailer
"Services, LADIES CUT",Hairdressing,https://novella.com.cy/#services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Novella
"Student Offers, LADIES CUT",Hairdressing,https://novella.com.cy/#services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Novella
"Services, MEN'S CUT",Hairdressing,https://novella.com.cy/#services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Novella
"Services, CHILDREN'S CUT",Hairdressing,https://novella.com.cy/#services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Novella
"Student Offers, MEN'S CUT",Hairdressing,https://novella.com.cy/#services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Novella
Adults,"Services provided by cinemas, theatres and concert venues",https://www.riopremiercinemas.com.cy/price-policy/,"RECREATION, SPORT AND CULTURE",Rio Cinema
Children,"Services provided by cinemas, theatres and concert venues",https://www.riopremiercinemas.com.cy/price-policy/,"RECREATION, SPORT AND CULTURE",Rio Cinema
Senior 64,"Services provided by cinemas, theatres and concert venues",https://www.riopremiercinemas.com.cy/price-policy/,"RECREATION, SPORT AND CULTURE",Rio Cinema
Students,"Services provided by cinemas, theatres and concert venues",https://www.riopremiercinemas.com.cy/price-policy/,"RECREATION, SPORT AND CULTURE",Rio Cinema
STAUROS KARAGIANNAS LIMITED,,https://www.fueldaddy.com.cy/stayros-karagiannas-limited?ref=maptile,,Fuel Daddy
Y2 FUEL SERVICES (CY) LTD,,https://www.fueldaddy.com.cy/y2-fuel-services-cy-ltd-1?ref=maptile,,Fuel Daddy
A & K PAVLOU TRADING LIMITED,,https://www.fueldaddy.com.cy/a-k-pavlou-trading-limited-1?ref=maptile,,Fuel Daddy
