Name,Subclass,Url,Division,Retailer
STAUROS KARAGIANNAS LIMITED,,https://www.fueldaddy.com.cy/stayros-karagiannas-limited?ref=maptile,,Fuel Daddy
Y2 FUEL SERVICES (CY) LTD,,https://www.fueldaddy.com.cy/y2-fuel-services-cy-ltd-1?ref=maptile,,Fuel Daddy
A & K PAVLOU TRADING LIMITED,,https://www.fueldaddy.com.cy/a-k-pavlou-trading-limited-1?ref=maptile,,Fuel Daddy
CHARILAOS DANIIL LIMITED,,https://www.fueldaddy.com.cy/charilaos-daniil-limited-2?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) LIMITED,,https://www.fueldaddy.com.cy/petrolina-holdings-public-limited-82?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,https://www.fueldaddy.com.cy/coral-energy-products-cyprus-ltd-43?ref=maptile,,Fuel Daddy
ANDREAS M. KOMMATOS LIMITED,,https://www.fueldaddy.com.cy/andreas-m-kommatos-limited-2?ref=maptile,,Fuel Daddy
J.K PETROL STATION AND CARWASH LTD,,https://www.fueldaddy.com.cy/jk-petrol-station-and-carwash-ltd?ref=maptile,,Fuel Daddy
SPLS TRADING CO LIMITED,,https://www.fueldaddy.com.cy/spls-trading-co-limited-1?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,https://www.fueldaddy.com.cy/ram-oil-cyprus-limited-92?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) LIMITED,,https://www.fueldaddy.com.cy/petrolina-holdings-public-limited-79?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) LIMITED,,https://www.fueldaddy.com.cy/petrolina-holdings-public-limited-78?ref=maptile,,Fuel Daddy
C. & C. PAPACOSTAS LIMITED,,https://www.fueldaddy.com.cy/c-c-papacostas-limited-2?ref=maptile,,Fuel Daddy
N & C FAKONDIS BROS PETROLEUM LTD,,https://www.fueldaddy.com.cy/n-c-fakondis-bros-petroleum-ltd-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) LIMITED,,https://www.fueldaddy.com.cy/petrolina-holdings-public-limited-81?ref=maptile,,Fuel Daddy
S. KALLIKAS LIMITED,,https://www.fueldaddy.com.cy/s-kallikas-limited-2?ref=maptile,,Fuel Daddy
TOTAL PLUS LIMITED,,https://www.fueldaddy.com.cy/total-plus-limited-1?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,https://www.fueldaddy.com.cy/coral-energy-products-cyprus-ltd-44?ref=maptile,,Fuel Daddy
G & K Kouppas Ltd,,https://www.fueldaddy.com.cy/g-k-kouppas-ltd-1?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,https://www.fueldaddy.com.cy/coral-energy-products-cyprus-ltd-45?ref=maptile,,Fuel Daddy
IOSIF. P. IOSIF TRADING LIMITED,,https://www.fueldaddy.com.cy/iosif-p-iosif-trading-limited-1?ref=maptile,,Fuel Daddy
SONSIRE HOLDINGS LTD,,https://www.fueldaddy.com.cy/sonsire-holdings-ltd-4?ref=maptile,,Fuel Daddy
G.M. (LEONTIOS) LIMITED,,https://www.fueldaddy.com.cy/gm-leontios-limited-1?ref=maptile,,Fuel Daddy
Eleni Savva,,https://www.fueldaddy.com.cy/eleni-savva-1?ref=maptile,,Fuel Daddy
DOUBLE N. GAS STATION LIMITED,,https://www.fueldaddy.com.cy/di-forces-trading-ltd-1?ref=maptile,,Fuel Daddy
"SOFT ""N"" FOAMY CAR WASH LIMITED",,https://www.fueldaddy.com.cy/demetris-xandris-developments-ltd-1?ref=maptile,,Fuel Daddy
I.G. MAKRIS ENTERPRISES LTD,,https://www.fueldaddy.com.cy/staroil-cyprus-ltd-15?ref=maptile,,Fuel Daddy
ANGIO TRADING LIMITED,,https://www.fueldaddy.com.cy/ram-oil-cyprus-limited-57?ref=maptile,,Fuel Daddy
