Name,Subclass,Url,Division,Retailer
Women's cross,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-cross-23/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Women's bracelet,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-bracelet-19-2/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Women's earrings,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-earrings-2-2/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Women's necklace,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/women/womens-necklace-55/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
Child ID,Purchase of jewellery and watches,https://constantinou-jewels.com/en/shop-2/jewellery/baby/identity-child/,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Constantinou Jewels
NISSAN MICRA 1.0 PETROL AUTOMATIC 1000cc,Second-hand motor cars,https://www.stock-center.com.cy/el/searchresults/vehicle/SC60613,TRANSPORT,Stock Center
NIKE MAX GRAPHIC SHORTS MENS,Garments for men or boys,https://athlokinisi.com.cy/product_details.php?pid=39295&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
NIKE BOYS PARK 20 SS TEE,Garments for men or boys,https://athlokinisi.com.cy/product_details.php?pid=115676&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
ADIDAS BOYS ESSENTIALS 3 STRIPES TEE,Garments for men or boys,https://athlokinisi.com.cy/product_details.php?pid=40126&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
NIKE TROPHY IV SHORT,Garments for men or boys,https://athlokinisi.com.cy/product_details.php?pid=102264&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
ADIDAS BOYS 3-STRIPES SHORTS,Garments for men or boys,https://athlokinisi.com.cy/product_details.php?pid=94755&type=groups,CLOTHING AND FOOTWEAR,Athlokinisi
