ECOICOP2 CODE,Subclass,Division,Weight
CP01111,Cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.002
CP01112,Flour of cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0008
CP011131,Bread,FOOD AND NON-ALCOHOLIC BEVERAGES,0.006
CP011139,Other bakery products,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0161
CP01114,Breakfast cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.003
CP01115,"Macaroni, noodles, couscous and similar pasta products",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0024
CP01119,Other milled cereal and grain products,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0007
CP011221,"Meat of bovine animals, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015
CP011222,"Meat of pigs, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0095
CP011223,"Meat of goats, lambs and sheep, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0035
CP011224,"Meat of poultry, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0085
CP011225,"Meat of hares and rabbits, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0
CP01123,"Meat, dried, salted, in brine or smoked",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0046
CP01124,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked",FOOD AND NON-ALCOHOLIC BEVERAGES,0
CP01125,"Preparations of meat, offal, blood and other parts of slaughtered animals",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0036
CP01131,"Fish, live, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.004
CP01132,"Fish, dried, salted, in brine or smoked",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0019
CP01133,Fish preparations,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0006
CP01134,"Other seafood, live, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015
CP01141,Raw and whole milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0024
CP01142,Skimmed milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0036
CP01143,Other milk and cream,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0012
CP01144,Non-animal milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0007
CP01145,Cheese,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0115
CP01146,Yoghurt and similar products,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0047
CP01147,Milk-based dessert and beverages,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0008
CP01148,Eggs,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0026
CP011513,Olive oil,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0029
CP01152,Butter and other oils and fats derived from milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009
CP01153,Margarine and similar preparations,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0006
CP01161,"Dates, figs and tropical fruits, fresh",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0028
CP01162,"Citrus fruits, fresh",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015
CP01163,"Stone fruits and pome fruits, fresh",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0041
CP01164,"Berries, fresh",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0007
CP01165,"Other fruits, fresh",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0032
CP01166,"Fruits, frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0003
CP01167,"Fruits, dried and dehydrated",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0005
CP01168,"Nuts, in shell or shelled",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0029
CP01169,"Fruits and nuts, ground, and in other preparations",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0002
CP01171,"Leafy or stem vegetables, fresh or chilled",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0032
CP01172,"Fruit-bearing vegetables, fresh or chilled",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0065
CP01173,"Green leguminous vegetables, fresh or chilled",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009
CP01174,"Other vegetables, fresh or chilled",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0021
CP011751,Potatoes,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0023
CP01176,Pulses,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0012
CP01178,"Vegetables, tubers, plantains and cooking bananas, frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011
CP01179,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0038
CP01181,Cane sugar and beet sugar,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0006
CP01182,Other sugars and sugar substitutes,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0003
CP01183,"Jams, marmalades, fruit jellies, pures and pastes, and honey",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009
CP01184,"Nut pures, nut butters and nut pastes",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0006
CP01185,"Chocolate, cocoa and cocoa-based food products",FOOD AND NON-ALCOHOLIC BEVERAGES,0.005
CP01186,"Ice, ice cream and sorbets",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0019
CP01189,Other sugar confectionery and desserts n.e.c.,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0017
CP01191,Ready-made food,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0027
CP01192,Baby food,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0017
CP01193,"Salt, condiments and sauces",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0027
CP01194,"Spices, culinary herbs and seeds",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0006
CP01199,Other food products n.e.c.,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009
CP01210,Fruit and vegetable juices,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0023
CP01220,Coffee and coffee substitutes,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0046
CP01230,"Tea, mate and other plant-derived products for infusion",FOOD AND NON-ALCOHOLIC BEVERAGES,0.0005
CP01250,Water,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0034
CP01260,Soft drinks,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0049
CP01290,Other non-alcoholic beverages,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011
CP02110,Spirits and liquors,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0053
CP02121,Wine from grapes,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0048
CP02130,Beer,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.008
CP02301,Cigarettes,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0301
CP02302,Cigars,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0005
CP02309,Other tobacco products,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0041
CP03121,Garments for men or boys,CLOTHING AND FOOTWEAR,0.0223
CP03122,Garments for women or girls,CLOTHING AND FOOTWEAR,0.0248
