Division,Weight,Weight_Price_Division_reference
"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",0.0528,1.37461
CLOTHING AND FOOTWEAR,0.0635,1.531095
EDUCATION SERVICES,0.0363,241.215269
FOOD AND NON-ALCOHOLIC BEVERAGES,0.1758,0.794069
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0481,5.097071
HEALTH,0.0198,0.640839
"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0503,0.401287
INFORMATION AND COMMUNICATION,0.0415,2.347684
"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.0494,0.869051
"RECREATION, SPORT AND CULTURE",0.0519,19.23594
RESTAURANTS AND ACCOMODATION SERVICES,0.1051,2.102686
TRANSPORT,0.1271,927.929707
