ECOICOP2 CODE,SUBCLASS,DIVISION,2026 WEIGHT (%),MATCHING (1=YES),MATCHED WEIGHT (%),TOTAL MATCHED WEIGHT (%)
CP01111,Cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.2,1,0.2,82.16
CP01112,Flour of cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.08,1,0.08,
CP011131,Bread,FOOD AND NON-ALCOHOLIC BEVERAGES,0.6,1,0.6,
CP011139,Other bakery products,FOOD AND NON-ALCOHOLIC BEVERAGES,1.61,1,1.61,
CP01114,Breakfast cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.3,1,0.3,
CP01115,"Macaroni, noodles, couscous and similar pasta products",FOOD AND NON-ALCOHOLIC BEVERAGES,0.24,1,0.24,
CP01119,Other milled cereal and grain products,FOOD AND NON-ALCOHOLIC BEVERAGES,0.07,1,0.07,
CP011221,"Meat of bovine animals, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.15,1,0.15,
CP011222,"Meat of pigs, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.95,1,0.95,
CP011223,"Meat of goats, lambs and sheep, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.35,1,0.35,
CP011224,"Meat of poultry, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.85,1,0.85,
CP011225,"Meat of hares and rabbits, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.02,0,0,
CP01123,"Meat, dried, salted, in brine or smoked",FOOD AND NON-ALCOHOLIC BEVERAGES,0.46,1,0.46,
CP01124,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked",FOOD AND NON-ALCOHOLIC BEVERAGES,0.02,0,0,
CP01125,"Preparations of meat, offal, blood and other parts of slaughtered animals",FOOD AND NON-ALCOHOLIC BEVERAGES,0.36,1,0.36,
CP01131,"Fish, live, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.4,1,0.4,
CP01132,"Fish, dried, salted, in brine or smoked",FOOD AND NON-ALCOHOLIC BEVERAGES,0.19,1,0.19,
CP01133,Fish preparations,FOOD AND NON-ALCOHOLIC BEVERAGES,0.06,1,0.06,
CP01134,"Other seafood, live, fresh, chilled or frozen",FOOD AND NON-ALCOHOLIC BEVERAGES,0.15,1,0.15,
CP01141,Raw and whole milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.24,1,0.24,
CP01142,Skimmed milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.36,1,0.36,
CP01143,Other milk and cream,FOOD AND NON-ALCOHOLIC BEVERAGES,0.12,1,0.12,
CP01144,Non-animal milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.07,1,0.07,
CP01145,Cheese,FOOD AND NON-ALCOHOLIC BEVERAGES,1.15,1,1.15,
CP01146,Yoghurt and similar products,FOOD AND NON-ALCOHOLIC BEVERAGES,0.47,1,0.47,
CP01147,Milk-based dessert and beverages,FOOD AND NON-ALCOHOLIC BEVERAGES,0.08,1,0.08,
CP01148,Eggs,FOOD AND NON-ALCOHOLIC BEVERAGES,0.26,1,0.26,
CP011513,Olive oil,FOOD AND NON-ALCOHOLIC BEVERAGES,0.29,1,0.29,
CP01152,Butter and other oils and fats derived from milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.09,1,0.09,
CP01153,Margarine and similar preparations,FOOD AND NON-ALCOHOLIC BEVERAGES,0.06,1,0.06,
CP01161,"Dates, figs and tropical fruits, fresh",FOOD AND NON-ALCOHOLIC BEVERAGES,0.28,1,0.28,
