Date,Division,CPI Division,Daily Change (%)
2024-06-27,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2643,
2024-06-27,CLOTHING AND FOOTWEAR,114.0499,
2024-06-27,EDUCATION SERVICES,98.9399,
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,98.4054,
2024-06-27,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2995,
2024-06-27,HEALTH,98.026,
2024-06-27,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2371,
2024-06-27,INFORMATION AND COMMUNICATION,95.2753,
2024-06-27,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.0917,
2024-06-27,"RECREATION, SPORT AND CULTURE",95.0823,
2024-06-27,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,
2024-06-27,TRANSPORT,100.2563,
2024-06-28,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.2295,-0.0361
2024-06-28,CLOTHING AND FOOTWEAR,114.0499,0.0
2024-06-28,EDUCATION SERVICES,98.9399,0.0
2024-06-28,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0839
2024-06-28,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3414,0.0431
2024-06-28,HEALTH,98.026,0.0
2024-06-28,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2367,-0.0004
2024-06-28,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-06-28,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.0982,0.0064
2024-06-28,"RECREATION, SPORT AND CULTURE",95.0823,0.0
2024-06-28,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-06-28,TRANSPORT,100.4063,0.1497
2024-06-29,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.299,0.0722
2024-06-29,CLOTHING AND FOOTWEAR,114.0499,0.0
2024-06-29,EDUCATION SERVICES,98.9399,0.0
2024-06-29,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-06-29,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3414,0.0
2024-06-29,HEALTH,98.026,0.0
2024-06-29,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2367,0.0
2024-06-29,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-06-29,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.0982,0.0
2024-06-29,"RECREATION, SPORT AND CULTURE",95.0823,0.0
2024-06-29,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-06-29,TRANSPORT,100.4063,0.0
2024-06-30,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.299,0.0
2024-06-30,CLOTHING AND FOOTWEAR,114.0499,0.0
2024-06-30,EDUCATION SERVICES,98.9399,0.0
2024-06-30,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-06-30,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3414,0.0
2024-06-30,HEALTH,98.026,0.0
2024-06-30,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2367,0.0
2024-06-30,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-06-30,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.0982,0.0
2024-06-30,"RECREATION, SPORT AND CULTURE",95.0823,0.0
2024-06-30,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-06-30,TRANSPORT,100.4063,0.0
2024-07-01,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.3685,0.0722
