Date,CPI General,Inflation (%)
2024-06-27,99.1,
2024-06-28,99.14,0.04699
2024-06-29,99.15,0.00321
2024-06-30,99.15,0
2024-07-01,99.15,0.00128
2024-07-02,99.15,-0.00321
2024-07-03,99.13,-0.01784
2024-07-04,99.14,0.00757
2024-07-05,99.1,-0.03966
2024-07-06,99.1,0.00167
2024-07-07,99.1,0
2024-07-08,99.1,-0.00167
2024-07-09,98.92,-0.17358
2024-07-10,99.04,0.11742
2024-07-11,99.04,0.00167
2024-07-12,99.07,0.03186
2024-07-13,99.08,0.00488
2024-07-14,99.08,0
2024-07-15,99.27,0.19326
2024-07-16,99.14,-0.12855
2024-07-17,99.14,0
2024-07-18,99.2,0.0539
2024-07-19,99.37,0.17148
2024-07-20,99.37,0.00166
2024-07-21,99.37,-0.00051
2024-07-22,99.31,-0.06005
2024-07-23,99.45,0.14451
2024-07-24,99.19,-0.26034
2024-07-25,99.24,0.04323
2024-07-26,99.29,0.05885
2024-07-27,99.24,-0.05087
2024-07-28,99.24,0
2024-07-29,99.27,0.02884
2024-07-30,99.27,0.00026
2024-07-31,99.27,0
2024-08-01,99.12,-0.15008
2024-08-02,99.18,0.05917
2024-08-03,99.19,0.00936
2024-08-04,99.19,0
2024-08-05,99.2,0.01321
2024-08-06,99.2,0.00077
2024-08-07,99.24,0.03463
2024-08-08,99.26,0.0191
2024-08-09,99.4,0.13856
2024-08-10,99.25,-0.1472
2024-08-11,99.25,0
2024-08-12,99.25,0
2024-08-13,99.27,0.02128
2024-08-14,99.18,-0.0933
2024-08-15,99.19,0.00911
2024-08-16,99.18,-0.00321
2024-08-17,99.21,0.02758
2024-08-18,99.21,0
2024-08-19,99.19,-0.02193
2024-08-20,99.1,-0.09056
2024-08-21,99.11,0.01078
2024-08-22,99.12,0.01143
2024-08-23,99.05,-0.07085
2024-08-24,99.05,-0.00462
2024-08-25,99.04,-0.00231
2024-08-26,99.06,0.01426
2024-08-27,99.04,-0.01683
2024-08-28,99.04,0
2024-08-29,99.04,0
2024-08-30,98.7,-0.34735
2024-08-31,98.7,0.00013
2024-09-01,98.7,0
2024-09-02,98.7,-0.00193
2024-09-03,98.71,0.01843
2024-09-04,98.75,0.03815
2024-09-05,98.75,0.00155
2024-09-06,98.82,0.06802
2024-09-07,98.82,-0.00167
2024-09-08,98.83,0.01584
2024-09-09,99.07,0.23544
2024-09-10,99.01,-0.05574
2024-09-11,99.02,0.01002
2024-09-12,98.94,-0.08711
2024-09-13,98.93,-0.00707
2024-09-14,99.09,0.15844
2024-09-15,99.09,0
2024-09-16,99.09,0.00321
2024-09-17,99.11,0.01785
2024-09-18,99.18,0.07561
2024-09-19,99.02,-0.15945
2024-09-20,98.99,-0.03572
2024-09-21,99.01,0.02134
2024-09-22,99.03,0.02313
2024-09-23,98.91,-0.12616
2024-09-24,98.88,-0.02367
2024-09-25,98.99,0.10525
2024-09-26,99.37,0.38688
2024-09-27,99.37,0
2024-09-28,99.42,0.04801
2024-09-29,99.43,0.00793
2024-09-30,99.46,0.03864
2024-10-01,100.11,0.64673
2024-10-02,100.1,-0.00648
2024-10-03,100.12,0.01729
2024-10-04,100.16,0.03698
2024-10-05,100.15,-0.00978
2024-10-06,100.15,-0.00013
2024-10-07,100.32,0.17773
2024-10-08,100.34,0.01154
2024-10-09,100.31,-0.02447
2024-10-10,100.26,-0.04668
2024-10-11,100.26,-0.00102
2024-10-12,100.28,0.017
2024-10-13,100.28,0.0033
2024-10-14,100.27,-0.01358
2024-10-15,100.29,0.02474
2024-10-16,100.3,0.00888
2024-10-17,100.3,-0.00279
2024-10-18,100.31,0.01002
2024-10-19,100.28,-0.02664
2024-10-20,100.28,-0.00292
2024-10-21,100.28,-0.00165
2024-10-22,100.3,0.02093
2024-10-23,100.32,0.01649
2024-10-24,100.4,0.08789
2024-10-25,100.41,0.00684
2024-10-26,100.46,0.04359
2024-10-27,100.63,0.17567
2024-10-28,100.63,-0.00164
2024-10-29,100.62,-0.01378
2024-10-30,100.49,-0.12771
2024-10-31,100.49,0.00456
2024-11-01,100.35,-0.13889
2024-11-02,100.36,0.0104
2024-11-03,100.39,0.02979
2024-11-04,100.16,-0.22913
2024-11-05,100.25,0.08955
2024-11-06,100.19,-0.0613
2024-11-07,100.1,-0.09016
2024-11-08,100.1,-0.00483
2024-11-09,100.16,0.06457
2024-11-10,100.16,-0.00013
2024-11-11,100.18,0.01499
2024-11-12,100.25,0.06985
2024-11-13,100.23,-0.01701
2024-11-14,100.23,-0.00254
2024-11-15,100.19,-0.03478
2024-11-16,100.26,0.06895
2024-11-17,100.24,-0.02487
2024-11-18,100.18,-0.05775
2024-11-19,100.14,-0.04051
2024-11-20,100.03,-0.11155
2024-11-21,100.12,0.09934
2024-11-22,99.87,-0.25503
2024-11-23,99.85,-0.02026
2024-11-24,99.85,-0.00319
2024-11-25,99.85,0.00471
2024-11-26,99.85,-0.00038
2024-11-27,99.85,-0.00064
2024-11-28,99.71,-0.14195
2024-11-29,99.54,-0.17239
2024-11-30,99.5,-0.04065
2024-12-01,99.52,0.02724
2024-12-02,99.73,0.21234
2024-12-03,99.74,0.00255
2024-12-04,99.85,0.11685
2024-12-05,99.96,0.10818
2024-12-06,99.97,0.00471
2024-12-07,99.96,-0.00127
2024-12-08,99.95,-0.01031
2024-12-09,99.92,-0.03169
2024-12-10,99.92,0.00153
2024-12-11,99.83,-0.09486
2024-12-12,99.82,-0.00535
2024-12-13,99.79,-0.03123
2024-12-14,99.92,0.13221
2024-12-15,99.92,0
2024-12-16,99.85,-0.07117
2024-12-17,99.91,0.05377
2024-12-18,99.81,-0.09385
2024-12-19,99.81,-0.00561
2024-12-20,99.79,-0.01759
2024-12-21,99.79,0.00408
2024-12-22,99.79,0.00013
2024-12-23,99.8,0.00523
2024-12-24,99.8,0.00178
2024-12-25,99.8,0
2024-12-26,99.8,0.00025
2024-12-27,99.8,0.00025
2024-12-28,99.94,0.13373
2024-12-29,99.94,0.00089
2024-12-30,99.85,-0.08479
2024-12-31,99.81,-0.04243
2025-01-01,99.74,-0.07138
2025-01-02,99.78,0.0375
2025-01-03,99.72,-0.05394
2025-01-04,99.74,0.01875
2025-01-05,99.74,-0.00026
2025-01-06,99.74,-0.00153
2025-01-07,99.82,0.08126
2025-01-08,99.82,-0.00293
2025-01-09,99.71,-0.11025
2025-01-10,99.54,-0.16741
2025-01-11,99.54,0.00192
2025-01-12,99.54,0.00256
2025-01-13,99.61,0.06148
2025-01-14,99.64,0.03066
2025-01-15,99.51,-0.1245
2025-01-16,99.42,-0.0895
2025-01-17,99.41,-0.01037
2025-01-18,99.44,0.02944
2025-01-19,99.41,-0.02725
2025-01-20,99.52,0.10213
2025-01-21,99.52,0.00499
2025-01-22,99.56,0.04129
2025-01-23,99.52,-0.04089
2025-01-24,99.51,-0.01099
2025-01-25,99.35,-0.157
2025-01-26,99.38,0.02139
2025-01-27,99.37,-0.0032
2025-01-28,99.32,-0.05224
2025-01-29,99.32,0.00077
2025-01-30,99.33,0.00986
2025-01-31,99.32,-0.00922
2025-02-01,99.39,0.06879
2025-02-02,99.36,-0.02714
2025-02-03,99.5,0.14072
2025-02-04,99.83,0.32874
2025-02-05,99.83,0.00115
2025-02-06,99.84,0.00777
2025-02-07,99.84,0.00344
2025-02-08,99.8,-0.04269
2025-02-09,99.77,-0.03506
2025-02-10,99.76,-0.00038
2025-02-11,99.72,-0.04489
2025-02-12,99.72,-0.00306
2025-02-13,99.74,0.02271
2025-02-14,99.74,-0.00179
2025-02-15,99.75,0.01378
2025-02-16,99.75,0.00013
2025-02-17,99.81,0.06352
2025-02-18,99.77,-0.04601
2025-02-19,99.77,0.00446
2025-02-20,99.77,-0.0074
2025-02-21,99.92,0.15341
2025-02-22,99.92,-0.00382
2025-02-23,99.92,0
2025-02-24,99.94,0.02649
2025-02-25,99.92,-0.02482
2025-02-26,99.92,0
2025-02-27,99.92,0
2025-02-28,99.91,-0.0093
2025-03-01,99.86,-0.05208
2025-03-02,99.86,0.00013
2025-03-03,99.92,0.06307
2025-03-04,100,0.07869
2025-03-05,100.07,0.07392
2025-03-06,100.03,-0.04488
2025-03-07,100.08,0.05444
2025-03-08,100.08,0.00165
2025-03-09,100.1,0.0178
2025-03-10,100.13,0.02555
2025-03-11,100.13,0.00889
2025-03-12,100.14,0.00445
2025-03-13,100.15,0.00775
2025-03-14,100.07,-0.07394
2025-03-15,100.04,-0.03217
2025-03-16,100.04,0.00331
2025-03-17,99.99,-0.05036
2025-03-18,99.98,-0.01183
2025-03-19,99.97,-0.00738
2025-03-20,99.9,-0.0733
2025-03-21,99.9,-0.00484
2025-03-22,99.91,0.01032
2025-03-23,99.94,0.03298
2025-03-24,99.89,-0.0499
2025-03-25,99.91,0.01783
2025-03-26,99.91,-0.00191
2025-03-27,100.15,0.24757
2025-03-28,100.13,-0.0202
2025-03-29,100.15,0.01652
2025-03-30,100.15,-0.00013
2025-03-31,100.15,-0.0033
2025-04-01,100.2,0.04917
2025-04-02,100.24,0.04673
2025-04-03,100.24,0.00025
2025-04-04,100.21,-0.03516
2025-04-05,100.13,-0.07948
2025-04-06,100.13,0.00432
2025-04-07,100.09,-0.04218
2025-04-08,100.09,-0.00318
2025-04-09,100.18,0.09394
2025-04-10,100.17,-0.00775
2025-04-11,100.2,0.02515
2025-04-12,100.22,0.01752
2025-04-13,100.23,0.01155
2025-04-14,100.24,0.01066
2025-04-15,100.27,0.03275
2025-04-16,100.18,-0.09288
2025-04-17,100.19,0.00813
2025-04-18,100.19,0.00724
2025-04-19,100.19,0
2025-04-20,100.2,0.00952
2025-04-21,100.2,0.00089
2025-04-22,100.18,-0.02362
2025-04-23,100.15,-0.03277
2025-04-24,100.19,0.04243
2025-04-25,100.19,-0.00013
2025-04-26,100.17,-0.01625
2025-04-27,100.17,0
2025-04-28,100.17,0
2025-04-29,100.17,0
2025-04-30,100.17,-0.00648
2025-05-01,100.28,0.11165
2025-05-02,100.28,0.00609
2025-05-03,100.27,-0.01649
2025-05-04,100.27,0
2025-05-05,100.27,-0.00038
2025-05-06,100.27,0.00457
2025-05-07,100.28,0.00622
2025-05-08,100.21,-0.06458
2025-05-09,100.22,0.00787
2025-05-10,100.2,-0.02488
2025-05-11,100.24,0.04101
2025-05-12,100.24,-0.0014
2025-05-13,100.24,0.0014
2025-05-14,100.23,-0.00368
2025-05-15,100.22,-0.01333
