Date,Division,CPI Division,Monthly Change (%)
2026-06-25,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",100.0,
2026-06-25,CLOTHING AND FOOTWEAR,100.0,
2026-06-25,EDUCATION SERVICES,100.0,
2026-06-25,FOOD AND NON-ALCOHOLIC BEVERAGES,100.0,
2026-06-25,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",99.995,
2026-06-25,HEALTH,100.0,
2026-06-25,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",99.9989,
2026-06-25,INFORMATION AND COMMUNICATION,100.0,
2026-06-25,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.0,
2026-06-25,"RECREATION, SPORT AND CULTURE",100.0,
2026-06-25,RESTAURANTS AND ACCOMODATION SERVICES,100.0,
2026-06-25,TRANSPORT,100.0,
