Date,CPI General,Inflation (%)
2024-06-27,99.1,
2024-07-25,99.24,0.14
2024-08-29,99.05,-0.19
2024-09-26,99.37,0.32
2024-10-31,100.5,1.14
2024-11-28,99.71,-0.78
2024-12-26,99.8,0.09
2025-01-30,99.33,-0.47
2025-02-27,99.91,0.59
2025-03-27,100.15,0.24
2025-04-24,100.19,0.04
2025-05-29,100.27,0.08
2025-06-26,99.91,-0.36
2025-07-31,99.49,-0.42
2025-08-28,100.45,0.96
2025-09-25,100.65,0.2
2025-10-30,100.21,-0.44
2025-11-27,99.65,-0.56
2025-12-25,99.96,0.32
2026-01-29,100.38,0.42
2026-02-26,100.12,-0.27
2026-03-26,100.85,0.74
2026-04-30,101.58,0.72
2026-05-28,101.52,-0.06
2026-06-25,101.76,0.24
