Name,Subclass,Url,Division,Retailer
Gillette Blue Ii Razors 5Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/gillette-blue-ii-razors-5pcs-1,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Dettol Hydrate Aloe & Bamboo Hand Wash Refill 500ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/dettol-hydrate-aloe-bamboo-hand-wash-refill-500ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Every Day Hyperdry Super Ultra Plus 18Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/every-day-hyperdry-super-ultra-plus-18pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Listerine Fresh Burst 250ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/listerine-fresh-burst-250ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Str8 Original After Shave Lotion 100ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/str8-original-after-shave-lotion-100ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Sensodyne Repair & Protect Cool Mint 75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/sensodyne-repair-protect-cool-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Septona Bio Cotton Buds Biodegradable 100Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/septona-bio-cotton-buds-biodegradable-100pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Dove Hydrate 0% Sles Shower Gel 720ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/dove-hydrate-0-sles-shower-gel-720ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Gillette Shave Foam Original 200ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/gillette-shave-foam-original-200ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Nivea Men Deodorant Dry Impact Spray 150ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/nivea-men-deodorant-dry-impact-spray-150ml-2,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Neutro Roberts Deodorant Powder Fresh Roll On 50ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/neutro-roberts-deodorant-powder-fresh-roll-on-50ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Elda Toilet Paper 24Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/elda-toilet-paper-24pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Elite Napkins White 1Ply 33x33cm 100Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/elite-napkins-white-1ply-33x33cm-100pcs-1,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Hope Care Luxury Ultra Soft Toilet Paper 10Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/hope-care-luxury-ultra-soft-toilet-paper-10pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Kleenex Premium Yellow Toilet Paper 12Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/kleenex-premium-yellow-toilet-paper-12pcs-2,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Kleenex Premium Toilet Paper 12Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/kleenex-premium-toilet-paper-12pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Kleenex Scottonelle Pure Clean Toilet Paper 32Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/kleenex-scottonelle-pure-clean-toilet-paper-32pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Always Ultra Secure Night With Wings 12Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/always-ultra-secure-night-with-wings-12pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Always Ultra Day Long With Wings Giga Pack 36Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/always-ultra-day-long-with-wings-giga-pack-36pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Always Ultra Day Normal With Wings 20Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/always-ultra-day-normal-with-wings-20pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Every Day Hyperdry Super Ultra Plus 18Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/every-day-hyperdry-super-ultra-plus-18pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Jotis Sweet & Balance Sweetener With Stevia 80g,Artificial sugar substitutes,https://www.supermarketcy.com.cy/en/jotis-sweet-balance-sweetener-with-stevia-80g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Canderel Stevia Sweetener Granular 75g,Artificial sugar substitutes,https://www.supermarketcy.com.cy/en/canderel-stevia-sweetener-granular-75g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
