Date,Name,Subclass,Price,Division,Retailer
2026-02-13,Gillette Blue II Plus Slalom Disposable Razors 5 Pieces,"Articles for personal hygiene and wellness, esoteric products and beauty products",2.99,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Garnier Clarifying Wash With Vitamin C 200 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",5.95,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Dettol Antibacterial Hydrate Liquid Hand Wash Refill with Aloe & Bamboo Fragrance 500 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",2.85,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Everyday Hyperdry XL Sanitary Pads 18 Pieces,"Articles for personal hygiene and wellness, esoteric products and beauty products",2.6,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Listerine Cool Mint Mouthwash 250 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",3.19,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Garnier Skin Active Moisture Bomb Super Hydrating + Replumping Sheet Mask,"Articles for personal hygiene and wellness, esoteric products and beauty products",2.4,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Str8 Original After Shave Lotion 100 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",7.5,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Sensodyne Complete Protection+ Cool Mint Toothpaste 75 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",3.49,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Alphamega Cotton Buds 100 Pieces,"Articles for personal hygiene and wellness, esoteric products and beauty products",0.89,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Dove Shower Gel Hydrate 720 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",3.79,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Gillette Original Scent Shaving Foam 200 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",1.75,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Alphamega Cotton Pads 80 Pieces,"Articles for personal hygiene and wellness, esoteric products and beauty products",1.19,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Alphamega Cotton Wool 100 g,"Articles for personal hygiene and wellness, esoteric products and beauty products",1.19,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Nivea Men Deodorant Spray Dry Impact 150 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",2.95,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Neutro Roberts Roll on Deodorant Extra Delicate 50 ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",2.1,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Alphamega Toilet Paper 2Ply 24 Rolls,"Articles for personal hygiene and wellness, esoteric products and beauty products",5.49,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Always Daily Fresh Normal 0% Perfume Pantyliners 30 Pieces,"Articles for personal hygiene and wellness, esoteric products and beauty products",1.95,MISCELLANEOUS GOODS AND SERVICES,Alphamega
2026-02-13,Yiotis Sweet & Balance Tabletop Sweetener 80 g,Artificial sugar substitutes,4.45,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Canderel with Stevia 40 g,Artificial sugar substitutes,4.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Canderel Sweetener 150 Tablets 12.75 g,Artificial sugar substitutes,2.69,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nounou Baby Cream Farine Lactee from 6+ Months 300 g,Baby food,3.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nounou Frisogrow Baby Milk Drink Powder 1-3 Years No3 400 g,Baby food,10.75,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,S-26 Gold Progress Baby And Toddler Milk Powder No.3 400 g,Baby food,9.69,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Hipp Organic Baby Milk Cereal With Fine Fruits. From the 6th month 250 g,Baby food,4.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Hipp Organic Baby Cereal 100% Rice Without Milk. From 4 Months 200 g,Baby food,3.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Hipp Organic Baby Cereal 100% Multi Grain Without Milk. From the 6th month 200 g,Baby food,3.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Humana Good Night Milk Cereal 5-Cereal With Banana 200 g,Baby food,3.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nounou Vanilla Cream With Rice Flour And Milk 350 g,Baby food,5.79,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nestle Farine Lacte 6+ Months 300 g,Baby food,2.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nounou Frisogrow Baby Formula Milk Powder No.4 Plus 3+ 800 g,Baby food,19.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nestle Nan Optipro Baby Formula Milk Powder No4 400 g,Baby food,9.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Fresh To Go Young Bull Chuck Holland 800 g,Beef and veal,13.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Fresh To Go Beef Mince Holland 800 g,Beef and veal,13.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Black Angus Beef Burgers 2x200 g,Beef and veal,8.2,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega White Sliced Bread 900 g,Bread,1.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega White Bread 500 g,Bread,1.35,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Whole Meal Bread 500 g,Bread,1.45,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Wholemeal Bread 850 g,Bread,1.89,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega White Village Bread 850 g,Bread,1.69,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega White Sliced Bread 500 g,Bread,1.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Oreo O's Cereals 350 g,Breakfast cereals,4.39,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Kellogg’s Coco Pops Cereal 330 g,Breakfast cereals,3.25,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Kellogg’s Crunchy Nut Cereal 375 g,Breakfast cereals,3.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Quaker Cereal Clusters with Oat & Milk Chocolate 450 g,Breakfast cereals,3.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Kellogg's Corn Flakes Cereal 375 g,Breakfast cereals,2.69,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Quaker Wholegrain Rolled Oats 500 g,Breakfast cereals,1.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Kellogg’s Special K Cereal 335 g,Breakfast cereals,2.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Kellogg’s Coco Pops Chocos Cereal 550 g,Breakfast cereals,3.79,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Kerrygold Pure Irish Salted Butter 250 g,Butter,3.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Lurpak Slightly Salted Butter 250 g,Butter,4.15,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Lurpak Unsalted Butter 225 g,Butter,3.65,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Lurpak Salted Soft 225 g,Butter,3.65,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alambra Traditional Goat’s Halloumi P.D.O 600 g,Cheese and curd,8.7,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Vepo Cheddar Cheese Slices 200 g,Cheese and curd,2.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Arla Natural Fresh Cheese 200 g,Cheese and curd,1.79,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Philadelphia Original Cream Cheese 200 g,Cheese and curd,2.45,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Vepo Gouda Cheese Slices 400 g,Cheese and curd,4.19,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,La Vache Qui Rit Original 8 Spreadable Cheeses 128 g,Cheese and curd,2.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Dodoni Feta in Brine 400 g,Cheese and curd,5.85,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Charalambides Christis Feta P.O.P 200 g,Cheese and curd,2.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Bakandys Couverture Dark Chocolate Drops 300 g,Chocolate,2.5,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Paris White Chocolate Couverture 140 g,Chocolate,1.45,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Laudry Detergent Powder 75 Washes 4.125 kg,Cleaning and maintenance products,7.79,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
2026-02-13,Comfort Gold Blueberries & Purple Orchid Fabric Softener 2 L,Cleaning and maintenance products,3.45,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Eureka Washing-Up Liquid with Lemon & Vinegar 750 ml,Cleaning and maintenance products,2.09,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
2026-02-13,Eureka Dishwashing Liquid with Lemon 750 ml,Cleaning and maintenance products,1.29,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Roklin Antibacterial Multi Surface Cleaner Ocean 1 L,Cleaning and maintenance products,2.25,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Fairy Ultra Original Dishwashing Liquid 900 ml,Cleaning and maintenance products,3.29,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
2026-02-13,Comfort Classic Pure Soft Fabric Softenener 2 L,Cleaning and maintenance products,2.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Comfort Gold Blueberries & Purple Orchid Fabric Softener 4 L,Cleaning and maintenance products,5.49,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Comfort Fabric Softener Pure Soft 4 L,Cleaning and maintenance products,4.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Soupline Complete Care Concentrated Fabric Softener 60 Washes 1260 ml,Cleaning and maintenance products,3.85,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Cif Cleanboost Classic Cleaning Cream for General Purposes 500 ml,Cleaning and maintenance products,1.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
