Name,Subclass,Url,Division,Retailer
Gillette Blue Ii Razors 5Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/gillette-blue-ii-razors-5pcs-1,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Garnier Skin Active Aloe Refreshing Gel Wash For Normal/Combination Skin 150ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/garnier-skin-active-aloe-refreshing-gel-wash-for-normalcombination-skin-150ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Dettol Soft On Skin Soothe Lavender & Violet Blossom Hand Wash 250ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/dettol-soft-on-skin-soothe-lavender-violet-blossom-hand-wash-250ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Every Day Hyperdry Super Ultra Plus 18Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/every-day-hyperdry-super-ultra-plus-18pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Listerine Fresh Burst 250ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/listerine-fresh-burst-250ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Garnier Skin Active Moisture Bomb Tissue Mask 1Pc 28g,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/garnier-skin-active-moisture-bomb-tissue-mask-1pc-28g,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Str8 Ahead After Shave Lotion 100ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/str8-ahead-after-shave-lotion-100ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Sensodyne Repair & Protect Cool Mint 75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/sensodyne-repair-protect-cool-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Septona Bio Cotton Buds Biodegradable 100Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/septona-bio-cotton-buds-biodegradable-100pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Dermomed Sensualita Argan Shower Gel 650ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/dermomed-sensualita-argan-shower-gel-650ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Always Ultra Secure Night With Wings 12Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/always-ultra-secure-night-with-wings-12pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Gillette Shave Foam Original 200ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/gillette-shave-foam-original-200ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Tippys Pads Make Up Remover 80Pcs,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/tippys-pads-make-up-remover-80pcs,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
Sensi Soft Zig Zag Pre Cut Cotton 150g,"Articles for personal hygiene and wellness, esoteric products and beauty products",https://www.supermarketcy.com.cy/en/sensi-soft-zig-zag-pre-cut-cotton-150g,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
