Name,Subclass,Url,Division,Retailer
Refrigerator TESLA RD2400ME white,"Refrigerators, freezers and fridge-freezers",https://www.stephanis.com.cy/en/products/396845,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Freezer BOSCH GSV24VWEV white,"Refrigerators, freezers and fridge-freezers",https://www.stephanis.com.cy/en/products/356984,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Refrigerator LG GTB574SHHZD white,"Refrigerators, freezers and fridge-freezers",https://www.stephanis.com.cy/en/products/366721,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Washing machine TESLA WF101590M white,"Clothes washing machines, clothes drying machines and dish washing machines",https://www.stephanis.com.cy/en/products/387598,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Dishwasher TESLA WD431M white,"Clothes washing machines, clothes drying machines and dish washing machines",https://www.stephanis.com.cy/en/products/384549,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Tumble dryer MIDEA MD200H90W/T-CY titanium,"Clothes washing machines, clothes drying machines and dish washing machines",https://www.stephanis.com.cy/en/products/389077,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Multicooker SENCOR Slow Cooker SPR 5508BK black,Cookers,https://www.stephanis.com.cy/en/products/389407,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Microwave oven Turntable SENCOR SMW1918 white,Cookers,https://www.stephanis.com.cy/en/products/384538,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Air Conditioner with Inverter TESLA TT34EX21-1232IA,"Heaters, air conditioners",https://www.stephanis.com.cy/en/products/374272,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Corded Stick & Handheld Vacuum cleaner DEERMA DX700 white,Cleaning equipment,https://www.stephanis.com.cy/en/products/404842,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Kitchen machine BOSCH MCM3100W white,Food processing appliances,https://www.stephanis.com.cy/en/products/333438,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Mixer for frappe OSIO OMM-2211 BL black,"Coffee machines, tea makers and similar appliances",https://www.stephanis.com.cy/en/products/329179,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Electric pot for Cyprus coffee OSIO OCP-2502BR black/red,"Coffee machines, tea makers and similar appliances",https://www.stephanis.com.cy/en/products/368342,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Filter coffee machine SENCOR SCE 3700BK black/chrome,"Coffee machines, tea makers and similar appliances",https://www.stephanis.com.cy/en/products/368534,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Kettle SENCOR SWK 1748WH white,"Coffee machines, tea makers and similar appliances",https://www.stephanis.com.cy/en/products/362512,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Iron BLAUPUNKT HSI201BL white/blue,Irons,https://www.stephanis.com.cy/en/products/378112,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Toaster MATESTAR MAT-6002W white,Toasters and grills,https://www.stephanis.com.cy/en/products/394507,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Barbecue Grill LIFE BBQ King 221-0137 black,Toasters and grills,https://www.stephanis.com.cy/en/products/364089,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Smartphone XIAOMI Redmi 9A LTE Dual SIM grey,Mobile telephone equipment,https://www.stephanis.com.cy/en/products/366214,COMMUNICATION,Stephanis
Back Cover Case for Samsung Galaxy A13 4G CELLY GELSKIN1022 transparent,Mobile telephone equipment,https://www.stephanis.com.cy/en/products/379800,COMMUNICATION,Stephanis
Cable USB-A male/USB-C male 2.0 1.2m OSIO OTU-5912B black,Mobile telephone equipment,https://www.stephanis.com.cy/en/products/367236,COMMUNICATION,Stephanis
Accessory for action camera JOBY Action Battery Grip JB01386-BWW,"Equipment for the reception, recording and reproduction of sound and vision",https://www.stephanis.com.cy/en/products/336719,RECREATION AND CULTURE,Stephanis
Action camera LAMTECH 4K ULTRA HD LAM021165 black,"Equipment for the reception, recording and reproduction of sound and vision",https://www.stephanis.com.cy/en/products/363277,RECREATION AND CULTURE,Stephanis
Action camera SENCOR 3CAM 4K04WR black,"Equipment for the reception, recording and reproduction of sound and vision",https://www.stephanis.com.cy/en/products/366541,RECREATION AND CULTURE,Stephanis
Portable speaker YENKEE,"Equipment for the reception, recording and reproduction of sound",https://www.stephanis.com.cy/en/products/338667,RECREATION AND CULTURE,Stephanis
Earphones with microphone SAMSUNG EO-IA500BBEGWW black,"Equipment for the reception, recording and reproduction of sound",https://www.stephanis.com.cy/en/products/379811,RECREATION AND CULTURE,Stephanis
Instant camera FUJIFILM Instax Mini 12 white,Cameras,https://www.stephanis.com.cy/en/products/387593,RECREATION AND CULTURE,Stephanis
Laptop BLACKVIEW Acebook 8 grey,Personal computers,https://www.stephanis.com.cy/en/products/395787,RECREATION AND CULTURE,Stephanis
Laptop ASUS Vivobook 15 X1504VA-BQ322W 90NB10J1-M00JW0 quiet blue,Personal computers,https://www.stephanis.com.cy/en/products/394046,RECREATION AND CULTURE,Stephanis
Laptop LENOVO IdeaPad 1 15AMN7 82VG00SPCY cloud grey,Personal computers,https://www.stephanis.com.cy/en/products/397454,RECREATION AND CULTURE,Stephanis
Case for laptop 13.3 RIVACASE Anti-Shock 5120 black,Accessories for information processing equipment,https://www.stephanis.com.cy/en/products/347311,RECREATION AND CULTURE,Stephanis
Cleaning Kit SENCOR SCL2200 4-in-1,Accessories for information processing equipment,https://www.stephanis.com.cy/en/products/338758,RECREATION AND CULTURE,Stephanis
Accessory kit PRO-MOUNTS Bag of Mounts PM2013GP99,Accessories for information processing equipment,https://www.stephanis.com.cy/en/products/329389,RECREATION AND CULTURE,Stephanis
Electronic Skipping Rope MULTIFUN MF-SR01,Equipment for sport,https://www.stephanis.com.cy/en/products/365112,RECREATION AND CULTURE,Stephanis
Shaver BEURER Βody Groomer HR 6000 black,Electric appliances for personal care,https://www.stephanis.com.cy/en/products/373370,MISCELLANEOUS GOODS AND SERVICES,Stephanis
Hair clipper REMINGTON HC5150,Electric appliances for personal care,https://www.stephanis.com.cy/en/products/184905,MISCELLANEOUS GOODS AND SERVICES,Stephanis
Hair dryer LIFE Character 221-0238 purple,Electric appliances for personal care,https://www.stephanis.com.cy/en/products/376837,MISCELLANEOUS GOODS AND SERVICES,Stephanis
Digital thermometer JOYROOM Body Non Contact XS-IFT002B,Electric appliances for personal care,https://www.stephanis.com.cy/en/products/367818,MISCELLANEOUS GOODS AND SERVICES,Stephanis
Smartwatch Strap για XIAOMI Redmi Watch 4/Smart Band 8 Pro BHR8002GL orange,Clocks and watches,https://www.stephanis.com.cy/en/products/395686,MISCELLANEOUS GOODS AND SERVICES,Stephanis
Board Game 50/50 QUIZ - Animals,Games and hobbies,https://www.stephanis.com.cy/en/products/368904,RECREATION AND CULTURE,Stephanis
Board Game 50/50 QUIZ - Wolrd,Games and hobbies,https://www.stephanis.com.cy/en/products/368903,RECREATION AND CULTURE,Stephanis
Board Game ZITO! Ninja Academy T-ZIT-51609,Games and hobbies,https://www.stephanis.com.cy/en/products/365815,RECREATION AND CULTURE,Stephanis
Board Game 50/50 Games - Athletics,Games and hobbies,https://www.stephanis.com.cy/en/products/384116,RECREATION AND CULTURE,Stephanis
Board Game ZITO! Rent A Hero T-ZIT-51308,Games and hobbies,https://www.stephanis.com.cy/en/products/365821,RECREATION AND CULTURE,Stephanis
Air Conditioner with Inverter TESLA TT34EX21-1232IA,"Heaters, air conditioners",https://www.stephanis.com.cy/en/products/374272,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Air Conditioner with Inverter TESLA TT26EX81-0932IAW white,"Heaters, air conditioners",https://www.stephanis.com.cy/en/products/380691,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Air Conditioner with Inverter TESLA TT26EX21-0932IA,"Heaters, air conditioners",https://www.stephanis.com.cy/en/products/374681,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Air Conditioner with Inverter MIDEA AG2Eco 09NXD0-I Xtreme Save 9000 Smart white,"Heaters, air conditioners",https://www.stephanis.com.cy/en/products/389208,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Iron TESLA IR200R red,Irons,https://www.stephanis.com.cy/en/products/382277,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Iron SENCOR SSI 2027BL white/blue,Irons,https://www.stephanis.com.cy/en/products/386411,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Iron SENCOR SSI 6100GR green/white,Irons,https://www.stephanis.com.cy/en/products/378110,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Ink bottle EPSON 103 EcoTank C13T00S14A black,Miscellaneous printed matter,https://www.stephanis.com.cy/en/products/352767,RECREATION AND CULTURE,Stephanis
Ink bottle CANON GI-490B 0663C001AA black,Miscellaneous printed matter,https://www.stephanis.com.cy/en/products/334138,RECREATION AND CULTURE,Stephanis
Ink bottle EPSON T6641 C13T66414A L365/565 black,Miscellaneous printed matter,https://www.stephanis.com.cy/en/products/331399,RECREATION AND CULTURE,Stephanis
Ink bottle EPSON T6642 C13T66424A L365/565 cyan,Miscellaneous printed matter,https://www.stephanis.com.cy/en/products/331400,RECREATION AND CULTURE,Stephanis
Paper A4 500 sheets 80 g,Paper products,https://www.stephanis.com.cy/en/products/166395,RECREATION AND CULTURE,Stephanis
Paper HP A4 Office Matte CHP110 white 500pcs,Paper products,https://www.stephanis.com.cy/en/products/371108,RECREATION AND CULTURE,Stephanis
Photo Paper 2x3 HP Sprocket Premium Zink Sticky-Back HPIZ2X320 20pcs,Paper products,https://www.stephanis.com.cy/en/products/400532,RECREATION AND CULTURE,Stephanis
Card Board Game MATTEL Uno DOS FRM36,Games and hobbies,https://www.stephanis.com.cy/en/products/377768,RECREATION AND CULTURE,Stephanis
Toy LEGO Minifigures: Series 27 (1pc) 71048,Toys and celebration articles,https://www.stephanis.com.cy/en/products/402283,RECREATION AND CULTURE,Stephanis
Toy LEGO Minifigures: Series 26 - Space Minifigure (1pc) 71046,Toys and celebration articles,https://www.stephanis.com.cy/en/products/397151,RECREATION AND CULTURE,Stephanis
Toy PLAYMOBIL Special Plus: Mermaid 9355,Toys and celebration articles,https://www.stephanis.com.cy/en/products/392170,RECREATION AND CULTURE,Stephanis
Toy LEGO Super Mario: Character Packs – Series 6 71413,Toys and celebration articles,https://www.stephanis.com.cy/en/products/397087,RECREATION AND CULTURE,Stephanis
Educational book for kids Mathaino Na Grafo - Tous Arithmous,Educational text books,https://www.stephanis.com.cy/en/products/374784,RECREATION AND CULTURE,Stephanis
Instant camera FUJIFILM Instax Mini 12 purple,Cameras,https://www.stephanis.com.cy/en/products/387594,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
Digital camera AGFAPHOTO Realishot DC5200 red,Cameras,https://www.stephanis.com.cy/en/products/386665,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Stephanis
