Name,Subclass,Url,Division,Retailer
"EUROPEAN UNIVERSITY CYPRUS, Bachelors Programmes Average Yearly Tuition for 2025-2026",Tertiary education,https://syllabus.euc.ac.cy/tuitions/euc-tuition-fees-c.pdf,EDUCATION,European University Cyprus
"THE GRAMMAR JUNIOR SCHOOL (Nicosia), ΕΤΗΣΙΑ ΔΙΔΑΚΤΡΑ ΙΔΙΩΤΙΚΩΝ ΝΗΠΙΑΓΩΓΕΙΩΝ 2025-2026",Pre-primary education (ISCED-97 level 0),didaktra_idiotikon_nipiagogeion.pdf,EDUCATION,"Cyprus Ministry of Education, Sport and Youth"
"THE GRAMMAR JUNIOR SCHOOL (Nicosia), ΕΤΗΣΙΑ ΔΙΔΑΚΤΡΑ ΙΔΙΩΤΙΚΩΝ ΔΗΜΟΤΙΚΩΝ ΣΧΟΛΕΙΩΝ 2025-2026",Primary education (ISCED-97 level 1),didaktra_idiotikon_dimotikon_scholeion.pdf,EDUCATION,"Cyprus Ministry of Education, Sport and Youth"
"THE GRAMMAR SCHOOL (Nicosia), ΜΕΣΑ ΕΤΗΣΙΑ ΔΙΔΑΚΤΡΑ ΙΔΙΩΤΙΚΩΝ ΣΧΟΛΕΙΩΝ ΜΕΣΗΣ ΕΚΠΑΙΔΕΥΣΗΣ 2025-2026",Secondary education,didaktra_idiotikon_mesi_ekpaidefsi.pdf,EDUCATION,"Cyprus Ministry of Education, Sport and Youth"
"THE GRAMMAR SCHOOL (Nicosia), ΕΤΗΣΙΑ ΔΙΔΑΚΤΡΑ ΙΔΙΩΤΙΚΩΝ ΣΧΟΛΕΙΩΝ ΜΕΣΗΣ ΕΚΠΑΙΔΕΥΣΗΣ 2025-2026, Ζ ΤΑΞΗ",Post-secondary non-tertiary education (ISCED 4),didaktra_idiotikon_mesi_ekpaidefsi.pdf,EDUCATION,"Cyprus Ministry of Education, Sport and Youth"
"THE GRAMMAR SCHOOL (Limassol), ΜΕΣΑ ΕΤΗΣΙΑ ΔΙΔΑΚΤΡΑ ΙΔΙΩΤΙΚΩΝ ΣΧΟΛΕΙΩΝ ΜΕΣΗΣ ΕΚΠΑΙΔΕΥΣΗΣ 2025-2026",Secondary education,didaktra_idiotikon_mesi_ekpaidefsi.pdf,EDUCATION,"Cyprus Ministry of Education, Sport and Youth"
"THE GRAMMAR SCHOOL (Limassol), ΕΤΗΣΙΑ ΔΙΔΑΚΤΡΑ ΙΔΙΩΤΙΚΩΝ ΣΧΟΛΕΙΩΝ ΜΕΣΗΣ ΕΚΠΑΙΔΕΥΣΗΣ 2025-2026, Ζ ΤΑΞΗ",Post-secondary non-tertiary education (ISCED 4),didaktra_idiotikon_mesi_ekpaidefsi.pdf,EDUCATION,"Cyprus Ministry of Education, Sport and Youth"
ΤΕΛΗ ΜΕΜΟΝΩΜΕΝΩΝ ΤΑΧΥΔΡΟΜΙΚΩΝ ΑΝΤΙΚΕΙΜΕΝΩΝ (ΕΠΙΣΤΟΛΙΚΟΥ ΤΑΧΥΔΡΟΜΕΙΟΥ) ΕΣΩΤΕΡΙΚΟΥ Α' ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ Μικρά (P) 50 γρ.,Letter handling services,https://www.cypruspost.post/uploads/2cf9ec4f5a.pdf,COMMUNICATION,Cyprus Post
ΤΕΛΗ ΜΕΜΟΝΩΜΕΝΩΝ ΤΑΧΥΔΡΟΜΙΚΩΝ ΑΝΤΙΚΕΙΜΕΝΩΝ (ΕΠΙΣΤΟΛΙΚΟΥ ΤΑΧΥΔΡΟΜΕΙΟΥ) ΕΣΩΤΕΡΙΚΟΥ Α' ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ Μεγάλα (G) 500 γρ.,Letter handling services,https://www.cypruspost.post/uploads/2cf9ec4f5a.pdf,COMMUNICATION,Cyprus Post
ΤΕΛΗ ΜΕΜΟΝΩΜΕΝΩΝ ΤΑΧΥΔΡΟΜΙΚΩΝ ΑΝΤΙΚΕΙΜΕΝΩΝ (ΕΠΙΣΤΟΛΙΚΟΥ ΤΑΧΥΔΡΟΜΕΙΟΥ) ΕΣΩΤΕΡΙΚΟΥ Α' ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ Ακανόνιστα (E) 2000 γρ.,Letter handling services,https://www.cypruspost.post/uploads/2cf9ec4f5a.pdf,COMMUNICATION,Cyprus Post
ΤΕΛΗ ΥΠΗΡΕΣΙΑΣ ΔΕΜΑΤΩΝ ΕΣΩΤΕΡΙΚΟΥ 0.5 κιλό,Other postal services,https://www.cypruspost.post/uploads/2cf9ec4f5a.pdf,COMMUNICATION,Cyprus Post
ΤΕΛΗ ΥΠΗΡΕΣΙΑΣ ΔΕΜΑΤΩΝ ΕΣΩΤΕΡΙΚΟΥ 15 κιλά,Other postal services,https://www.cypruspost.post/uploads/2cf9ec4f5a.pdf,COMMUNICATION,Cyprus Post
ΤΕΛΗ ΥΠΗΡΕΣΙΑΣ ΔΕΜΑΤΩΝ ΕΣΩΤΕΡΙΚΟΥ 30 κιλά,Other postal services,https://www.cypruspost.post/uploads/2cf9ec4f5a.pdf,COMMUNICATION,Cyprus Post
"Wash, Dry and Fold - up to 5kg",Cleaning of clothing,https://premierlaundry.com.cy/,CLOTHING AND FOOTWEAR,Premier Laundry
"Wash, Dry and Fold - up to 10kg",Cleaning of clothing,https://premierlaundry.com.cy/,CLOTHING AND FOOTWEAR,Premier Laundry
Dry and Fold Only (up to 5kg),Cleaning of clothing,https://premierlaundry.com.cy/,CLOTHING AND FOOTWEAR,Premier Laundry
Dry and Fold Only (up to 10kg),Cleaning of clothing,https://premierlaundry.com.cy/,CLOTHING AND FOOTWEAR,Premier Laundry
nicosia-limassol-limassol-nicosia,Passenger transport by bus and coach,nicosia-limassol-limassol-nicosia/,TRANSPORT,Intercity Buses
larnaca-nicosia-nicosia-larnaca,Passenger transport by bus and coach,larnaca-nicosia-nicosia-larnaca/,TRANSPORT,Intercity Buses
nicosia-ayia-napa-paralimni-ayia-napa-paralimni-nicosia,Passenger transport by bus and coach,nicosia-ayia-napa-paralimni-ayia-napa-paralimni-nicosia/,TRANSPORT,Intercity Buses
nicosia-paphos-paphos-nicosia,Passenger transport by bus and coach,nicosia-paphos-paphos-nicosia/,TRANSPORT,Intercity Buses
larnaca-limassol-limassol-larnaca,Passenger transport by bus and coach,larnaca-limassol-limassol-larnaca/,TRANSPORT,Intercity Buses
