Name,Subclass,Url,Division,Retailer
Mitsides Bulgur Wheat Fine 500gr,Rice,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/mitsides-bulgur-wheat-fine-500gr-itemid-274732ff32af9d9d5f60ed47?search=Mitsides+Bulgur+Wheat+Fine+500gr,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Mitsides Bulgur Wheat 500gr,Rice,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/mitsides-bulgur-wheat-500gr-itemid-fa6953bf064df71eaf0a2cd1?search=Mitsides+Bulgur+Wheat+Fine+500gr,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Nounou Sweetened Condensed Milk 397g,Other milk products,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/nounou-sweetened-condensed-milk-397g-itemid-a46d3cce2cf30f2d381b60ab?search=Nounou+Sweetened+Condensed+Milk+397g,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Kinder Chocolate X4 Bars 50gr,Other food products n.e.c.,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/kinder-chocolate-bars-4x50g-itemid-17923debb94e6f19eb582140?search=Kinder+Chocolate+X4+Bars+50gr,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Oatly Oat Drink Barista Edition 500ml,Preserved milk,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/oatly-oat-drink-barista-edition-500ml-itemid-e5c990ae22a9b99ccc661d1b?search=Oatly+Oat+Drink+Barista+Edition+500ml,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Pork Sheftalia,Other meats,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/pork-sheftalia-itemid-9c57d2d18c300ace8ab3d855?search=Pork+Sheftalia,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Charalambous Cyprus Coffee Classic 200g,Coffee,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/charalambous-cyprus-coffee-classic-200g-itemid-037a4a834edd832e7ec311e5?search=Charalambous+Cyprus+Coffee+Classic+200g,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Dr Oetker Pizza Ristorante Speciale 345g,Pizza and quiche,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/dr-oetker-pizza-ristorante-speciale-345g-itemid-35e5d0f872ecd4fb6556ce93?search=Dr+Oetker+Pizza+Ristorante+Speciale+345g,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Dr Oetker Pizza Prociutto 340g,Pizza and quiche,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/dr-oetker-pizza-ristorante-prociutto-340g-itemid-870c4a0b4274d4079c779b82?search=Dr+Oetker+Pizza,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Dr Oetker Pizza Mozzarella 355g,Pizza and quiche,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/dr-oetker-pizza-mozzarella-355g-itemid-b845a96db202fcba952a4cec?search=Dr+Oetker+Pizza,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
S-26 Progress Gold Milk Stage 3 400g,Baby food,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/s-26-progress-gold-milk-stage-3-400g-itemid-6158cd4afadfb7ad04497488?search=S-26+Progress+Gold+Milk+Stage+3+400g,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
Vepo Cheddar Cheese Sliced 200g,Cheese and curd,https://wolt.com/el/cyp/larnaca/venue/metro-larnaca/vepo-cheddar-cheese-sliced-200g-itemid-1213b5d995a606f9bbd8baa2?search=Vepo+Cheddar+Cheese+Sliced+200g,FOOD AND NON-ALCOHOLIC BEVERAGES,METRO
